Ref,Val,Package,PosX,PosY,Rot,Side
"J1","01x06","PinHeader_1x06_P2.54mm_Vertical",-69.850000,-105.410000,180.000000,bottom
"J2","01x06","PinHeader_1x06_P2.54mm_Vertical",-82.550000,-105.410000,180.000000,bottom
"J3","01x05","PinHeader_1x05_P2.54mm_Horizontal",-73.660000,-54.864000,90.000000,bottom
"J5","01x05S","PinSocket_1x05_P2.54mm_Horizontal",-86.360000,-54.864000,-90.000000,bottom
"C11","10uF","C_0805_2012Metric",92.710000,-82.550000,0.000000,top
"C12","10uF","C_0805_2012Metric",92.710000,-74.930000,0.000000,top
"C21","100nF","C_0805_2012Metric",86.360000,-69.646800,0.000000,top
"C23","100nF","C_0805_2012Metric",80.010000,-54.760500,-90.000000,top
"C31","100nF","C_0805_2012Metric",73.660000,-83.820000,90.000000,top
"C32","1uF","C_0805_2012Metric",88.900000,-83.820000,90.000000,top
"D11","1N5819","D_SOD-323",74.422000,-113.123000,90.000000,top
"D12","1N5819","D_SOD-323",74.422000,-109.567000,90.000000,top
"D13","1N5819","D_SOD-323",77.978000,-113.123000,90.000000,top
"D14","1N5819","D_SOD-323",77.978000,-109.601000,90.000000,top
"D21","1N5819","D_SOD-323",95.758000,-86.360000,0.000000,top
"D41","White LED","LED_0805_2012Metric",58.420000,-55.880000,180.000000,top
"D42","White LED","LED_0805_2012Metric",58.420000,-60.960000,180.000000,top
"D51","White LED","LED_0805_2012Metric",58.420000,-66.040000,180.000000,top
"D52","White LED","LED_0805_2012Metric",58.420000,-76.200000,180.000000,top
"D53","White LED","LED_0805_2012Metric",58.420000,-86.360000,180.000000,top
"D54","White LED","LED_0805_2012Metric",58.420000,-91.440000,180.000000,top
"D55","White LED","LED_0805_2012Metric",58.420000,-71.120000,180.000000,top
"D56","White LED","LED_0805_2012Metric",58.420000,-81.280000,180.000000,top
"D57","R/G LED","LED_RGB_1210",76.200000,-93.980000,0.000000,top
"J4","01x07","PinHeader_1x07_P2.54mm_Vertical",99.060000,-66.035000,0.000000,top
"JP61","01x02","PinHeader_1x02_P2.54mm_Vertical",82.164000,-99.060000,90.000000,top
"Q31","SL2309","SOT-23",78.740000,-78.740000,0.000000,top
"Q32","SL2309","SOT-23",83.820000,-78.740000,0.000000,top
"Q33","DMN6140","SOT-23",78.740000,-86.360000,0.000000,top
"Q34","DMN6140","SOT-23",83.820000,-86.360000,0.000000,top
"Q35","DTC143ZCA","SOT-23",78.740000,-73.660000,180.000000,top
"Q36","DTC143ZCA","SOT-23",83.820000,-73.660000,180.000000,top
"Q41","2N7002","SOT-23",63.500000,-66.040000,180.000000,top
"Q42","2N7002","SOT-23",63.500000,-71.120000,180.000000,top
"Q43","2N7002","SOT-23",63.500000,-76.200000,180.000000,top
"Q44","2N7002","SOT-23",63.500000,-81.280000,180.000000,top
"Q45","2N7002","SOT-23",63.500000,-86.360000,180.000000,top
"Q46","2N7002","SOT-23",63.500000,-91.440000,180.000000,top
"R21","4K7","R_0805_2012Metric",88.900000,-96.266000,180.000000,top
"R22","9K1","R_0805_2012Metric",88.900000,-98.552000,0.000000,top
"R23","9K1","R_0805_2012Metric",77.724000,-54.760500,-90.000000,top
"R24","470R","R_0805_2012Metric",82.296000,-54.760500,-90.000000,top
"R31","9K1","R_0805_2012Metric",73.660000,-76.200000,-90.000000,top
"R32","9K1","R_0805_2012Metric",89.154000,-76.200000,-90.000000,top
"R33","470R","R_0805_2012Metric",78.740000,-82.550000,-90.000000,top
"R34","470R","R_0805_2012Metric",83.820000,-82.550000,90.000000,top
"R35","470R","R_0805_2012Metric",88.900000,-93.980000,180.000000,top
"R36","470R","R_0805_2012Metric",88.900000,-88.900000,180.000000,top
"R37","2K7","R_0805_2012Metric",88.900000,-91.440000,0.000000,top
"R41","470R","R_0805_2012Metric",68.580000,-66.040000,180.000000,top
"R42","470R","R_0805_2012Metric",68.580000,-71.120000,180.000000,top
"R43","470R","R_0805_2012Metric",68.580000,-76.200000,180.000000,top
"R44","470R","R_0805_2012Metric",68.580000,-81.280000,180.000000,top
"R45","470R","R_0805_2012Metric",68.580000,-86.360000,180.000000,top
"R46","470R","R_0805_2012Metric",68.580000,-91.440000,180.000000,top
"R47","470R","R_0805_2012Metric",53.340000,-55.880000,0.000000,top
"R48","470R","R_0805_2012Metric",53.340000,-60.960000,0.000000,top
"R51","2K7","R_0805_2012Metric",53.340000,-66.040000,0.000000,top
"R52","2K7","R_0805_2012Metric",53.340000,-76.200000,0.000000,top
"R53","2K7","R_0805_2012Metric",53.340000,-86.360000,0.000000,top
"R54","2K7","R_0805_2012Metric",53.340000,-91.440000,0.000000,top
"R55","2K7","R_0805_2012Metric",53.340000,-71.120000,0.000000,top
"R56","2K7","R_0805_2012Metric",53.340000,-81.280000,0.000000,top
"R57","2K7","R_0805_2012Metric",80.772000,-93.980000,0.000000,top
"R61","100R","R_2512_6332Metric",76.200000,-99.060000,0.000000,top
"U11","ME6203A50M3G","SOT-23",92.710000,-78.740000,180.000000,top
"U21","PIC18F16Q40","SSOP-20_5.3x7.2mm_P0.65mm",83.820000,-64.770000,180.000000,top
